ext,splan,shared,value
1115,1,,118930
1112,1,,142215
1101,1,,155843
1141,1,,112608
7010,1,,167380
1142,1,,33896
3325,1,,117149
2211,1,,153536
1127,1,,95945
1128,1,,146031
3314,1,,82552
1103,1,,139109
1113,1,,105598
3330,1,,89293
1126,1,,162638
5001,1,,163469
3324,1,,163598
5004,1,,97418
1109,1,,41304
1144,1,,125609
1125,1,,166205
5005,1,,177072
5002,1,,139460
1114,1,,160850
3327,1,,80964
2215,1,,139048
3331,1,,174709
2210,1,,143498
1106,1,,173808
3301,1,,151860
4444,1,,29769
1130,1,,173270
2218,1,,170292
7009,1,,61537
3302,1,,61509
3319,1,,82173
2219,1,,174413
2221,1,,130539
3332,1,,153971
888,1,,144859
2220,1,,82842
2223,1,,135809
2224,1,,168609
2222,1,,174784
1143,1,,170451
2213,1,,154122
3334,1,,156300
3329,1,,173754
2225,1,,175585
3323,1,,78367
3335,1,,146422
6005,1,,179202
4405,1,,156955
3318,1,,166861
6006,1,,170575
3333,1,,160586
4445,1,,179870
4446,1,,179958
6007,1,,176114
3321,1,,152602
2226,1,,150986
6008,1,,176665
3337,1,,176894
3338,1,,170245
1102,1,,179988
3336,1,,176058
3328,1,,166792
3320,1,,173552
2212,1,,170802
4002,1,,177021
2217,1,,179736
3322,1,,179826
3339,1,,179970
6012,1,,179778
6011,1,,179976
2216,1,,179707
